product_title,product_url,price,rating,trend_score,country,amazon_market_type,category
The Eskimo Blanket Hoodie Sweatshirt Hooded Blankets Super Soft Warm Premium Sherpa Fleece – Oversized Adults One Size Fits All Unisex Mens Women Hoody Jumper Sweater,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MzIxMjMxODAwMTQ5NjMwOjE3NzA3MDIwNjE6c3BfYXRmOjMwMDA4NzI2MTE1NDQzMjo6MDo6&url=%2FEskimo-Blanket-Sweatshirt-Snug-Rug%2Fdp%2FB08P1Z6M2M%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c%26dib_tag%3Dse%26keywords%3DIcelandic%2BHoodies%26qid%3D1770702061%26sr%3D8-1-spons%26aref%3DpMDSoiOFac%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=pMDSoiOFac&sp_cr=ZAZ,£34.99,4.6,100,Iceland,regional,Inferred from Query
Brynjudalur Hooded Icelandic Wool Jumper with Traditional Pattern and Zip,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MzIxMjMxODAwMTQ5NjMwOjE3NzA3MDIwNjE6c3BfYXRmOjMwMDc4MDgxMDE0NTkzMjo6MDo6&url=%2FICEWEAR-Brynjudalur-Icelandic-Traditional-Pattern%2Fdp%2FB0DYVN8DPC%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c%26dib_tag%3Dse%26keywords%3DIcelandic%2BHoodies%26qid%3D1770702061%26sr%3D8-2-spons%26aref%3DKhVSfeVuKM%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=KhVSfeVuKM&sp_cr=ZAZ,£169.00,,95,Iceland,regional,Inferred from Query
Brynjudalur Icelandic Wool Jumper,https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MzIxMjMxODAwMTQ5NjMwOjE3NzA3MDIwNjE6c3BfYXRmOjMwMDc4MDc3MDM0NTkzMjo6MDo6&url=%2FICEWEAR-Brynjudalur-Icelandic-Jumper-Light%2Fdp%2FB0DYVGX8C1%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c%26dib_tag%3Dse%26keywords%3DIcelandic%2BHoodies%26qid%3D1770702061%26sr%3D8-3-spons%26aref%3D2rsb96Xm1O%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=2rsb96Xm1O&sp_cr=ZAZ,£139.00,,90,Iceland,regional,Inferred from Query
I Don't Know Icelandic Iceland Pullover Hoodie,https://www.amazon.co.uk/Dont-Icelandic-Iceland-Pullover-Hoodie/dp/B0CXXCH3M3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-4,£28.99,,85,Iceland,regional,Inferred from Query
Funny Icelandic Zip Hoodie,https://www.amazon.co.uk/Rude-Icelandic-Gifts-Funny-Hoodie/dp/B0BZQGNQN9/ref=sr_1_5?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-5,£28.99,,80,Iceland,regional,Inferred from Query
I Don't Speak Icelandic Iceland Zip Hoodie,https://www.amazon.co.uk/Dont-Speak-Icelandic-Iceland-Hoodie/dp/B0CXXBRYWF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-6,£29.99,,75,Iceland,regional,Inferred from Query
Its an Icelandic Thing You Wouldn't Understand Men and Women Pullover Hoodie,https://www.amazon.co.uk/Icelandic-Wouldnt-Understand-Pullover-Hoodie/dp/B0G46628S1/ref=sr_1_7?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-7,£27.99,,70,Iceland,regional,Inferred from Query
Icelandic Map Fire Ice Northern Lights Icelandic Souvenir Pullover Hoodie,https://www.amazon.co.uk/Iceland-Northern-Icelandic-Souvenir-Pullover/dp/B0BGF9PM7C/ref=sr_1_8?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-8,£28.99,5.0,65,Iceland,regional,Inferred from Query
Iceland Icelandic Flag Icelandic Roots Icelandic Pride Pullover Hoodie,https://www.amazon.co.uk/Iceland-Icelandic-Roots-Pullover-Hoodie/dp/B0FZXHVYCS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-9,£28.99,,60,Iceland,regional,Inferred from Query
Pullover Hoodie,https://www.amazon.co.uk/Icelandic-Flag-Pullover-Hoodie/dp/B0B9JL2CKR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-10,£26.99,,55,Iceland,regional,Inferred from Query
"Natural Gemstone Bracelet – Green Aventurine, Black Lava Rock & Red Tiger Eye Healing Crystal Beaded Bracelet for Men & Women – Chakra Energy, Meditation & Yoga Jewelry",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTozNjc0MTIwNzU0MzM1MTQzOjE3NzA3MDIwNjk6c3BfYXRmOjMwMDY4OTU4NzUwODYzMjo6MDo6&url=%2FLava-Stone-Bracelet-Volcanic-Essential%2Fdp%2FB0FHYPTWSQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M%26dib_tag%3Dse%26keywords%3DVolcanic%2BJewelry%26qid%3D1770702069%26sr%3D8-1-spons%26aref%3D4KAOWbSVKT%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4KAOWbSVKT&sp_cr=ZAZ,£5.99,4.3,100,Iceland,regional,Inferred from Query
