item,country,market_type,trend_strength,platform_count,marketplace,urls,lifecycle_stage
Smart Watch Men Women Fitness Tracker Blood Pressure Heart Rate Sport Watches,Iceland,regional,222.22,1,eBay,"['https://www.ebay.co.uk/itm/225982437087?_skw=Smart+Watches&epid=27078691455&itmmeta=01KH31480S5GQQSYTTFKYWGXDD&hash=item349d9a56df:g:mSEAAOSw1hJoHxIA&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDhq80WFzz1R0JkXbPNhMu3PsRdCDedJ7OmiWxYOVp703DuGXxBgqajCnIxwDJ5k%2FyDYt8e6wbhmYqZVbeRFdJ8spoCVq7bGxvFPCNCSL2kPd8g8Tn7nfPU9iHNfty%2BLogadLZyK5FZ4LL9S%2FDgLnE%2FqImvfI9d%2FUanorrhk%2FPzBtR6KUabu1%2B68qiWpWmzHe0Q39%2BTTW%2B7FtTXmscv%2B77r7xKYZkLjXSw87y7dIP1Zm0C24yV2LCwTIUG6DNOgccc%3D%7Ctkp%3ABk9SR_KAkeGIZw', 'https://www.ebay.co.uk/itm/127660215264?_skw=Smart+Watches&itmmeta=01KH31480S312792TCK0X3Y4XC&hash=item1db9244be0:g:begAAeSwbNxpgGVP&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xA462Q5ZHq1Bt3%2FtEbzYPdmzmVzCIYqwgOjz%2FFV3hW%2B%2BovIfCJ%2Fv6sNGKAuOTF3HdyScNH4TZhgtuOZP%2FYreRuR99g%2FqsL9Y3U2Ee%2B9Bb52DR8XsQEANL1od%2Fg%2FS8foJdYzlvJ7HsUQLeTYKpemlgUVnrApEWy%2BKBh6vGalRMhSop0xcxriyUSTepZcM%2FAwBF1ZhZeuodYdz1DP8cOWvKmd6U48gzimCGk%2Bkg4KaKfbVodsXzrnM8IcqInPhzTDwbij79VdTDGbiX3316Y%2B5mg4rniGlGZk8c%2BjTHZeWXoI4Q%3D%3D%7Ctkp%3ABk9SR_KAkeGIZw', 'https://www.ebay.co.uk/itm/127638287499?_skw=Smart+Watches&itmmeta=01KH31480SGPQYBPC5ZF9B75T3&hash=item1db7d5b48b:g:1ZYAAeSwIkZpceaZ&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xAikH4B2uEO%2Bga2frA%2Fup8QKTdglfcCBc3mHGod9l4tlLoaVMXprdTww4MyzUJ2QteRZqJWmHkGWTLqz3jf2yIZqYDJb5Yw1sLULhDAmrjcf4tLSiD8ZYwyWIG%2BtZKWlCNvSUXxqyNFkkGlN9HRk5Jfk38SW0E3jx7wqFskYzhM%2BEK9O%2FCgezXD9dG%2BMOxz%2BA4rkeDeS2B5YJvii9BRBok6mEWbzvV%2B6l%2BHgMYwT2GsNg%3D%3D%7Ctkp%3ABlBMUPCAkeGIZw', 'https://www.ebay.co.uk/itm/358107119384?_skw=Smart+Watches&itmmeta=01KH31480SJDQDN4EEP7T1VBM8&hash=item5360d8ff18:g:FzQAAeSwY1Bpb0Xh&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCzltuP7o32ktxpyCmaTDBRpPs%2BXlxZPMx3wpkxU1FjpmODnD3hwx3CxDYGVtoNK8bKd1BtP3Hnq4lpFRTZoTFe1XMGmn1rclmtRzKAYtbGqhkEQFvTwzdC%2BhMbmlZx%2FpfF1%2B2e7b%2BFZ0pGRcYQSuvwz1Wc5c1ElPJrWirWDilszbgbWjXfB0n152TxZpWG5fXlmKAhFpveyBcQVmcGUSZClPFuu0por2V%2FB70XJPf2jnA%2FNWMM38tnAiYF5FWsX2PtXZRBnkb2%2F968eOSuelJ%2F7TpzDwKiU%2FA%2BXaQjHz9thA%3D%3D%7Ctkp%3ABk9SR_KAkeGIZw']",Rising
Bluetooth Earphones TWS Mini Wireless Headphones In-Ear Buds For iPhone Android,Iceland,regional,177.78,1,eBay,"['https://www.ebay.co.uk/itm/397495111593?_skw=Wireless+Earbuds&itmmeta=01KH31432A9HRE2GCVR051ZRDS&hash=item5c8c8e0fa9:g:N7IAAeSwfsZpZ643&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xB1G%2Bgyzwc5AckMKiSkIwCD1ayv4BfzNIgvf6uSABrIQ3IChvDKYMfO2pLlTdbWKb2t8RI7J7xGG0xBcCozfEdh9obSWgFt0QZV338AbyUPaWphXbxmr6N%2BSTu%2Bxnc2m7OZGCARfEuFJ%2FdI5b%2F9E121TLcNh62S%2Fg6nk%2B8Pxi5yPGNzUEoySWF2JGM1gDJqTuZmhf6rU53ex2dfL9ZgPd69oy1Bt9ZFZqhFhkFs6t7O3teDWgy0j6XChJPx9F2abFZzZD6lqCFx27oM%2FD1MDnIHDnP5%2BnIW%2FQeoZzmLsFqnYg%3D%3D%7Ctkp%3ABk9SR8KxkOGIZw', 'https://www.ebay.co.uk/itm/387277080371?_skw=Wireless+Earbuds&itmmeta=01KH31432A77TKQB6G97743FSZ&hash=item5a2b834733:g:wCUAAOSwVOJnDV5j&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCZl1lYYIVr9w%2FhJa4Y%2FLqv7EKq9%2F4kddWtbCXV2ZBx%2F76L5wNjUMrcZTPFqlfSxavgSxQeml95Psbuvu5%2B4He6z6kv3hTR2oXFqwlLvTHHB03a%2Fl9%2FhjmyCFZnYElCizdehQmY4f9b9mhaRrkmeFI5uScASqfUdcuLOnYmvhtmvuE7KQ3FP1RFVoIZT752FEQ1oEIm24Elx28%2FSZYCHh7laK%2BGK5SxJQ%2By9Fu4%2B2LBTVjpeQkVmZER2TE17XeFc1k%3D%7Ctkp%3ABk9SR8KxkOGIZw', 'https://www.ebay.co.uk/itm/226813886342?_skw=Wireless+Earbuds&itmmeta=01KH31432ADY0JQDKMCQFZSS90&hash=item34cf293f86:g:juwAAOSwBgFoTNl2&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCbqhPpzLXI8k6rhb2zYefxn%2Fo%2Fgd6K2A4hkzOLYDD5gsWtGIVJkP8RE9P9h%2FLY%2FarB9rKhP20f%2FefCMFrDmR6UlJWdIZuRcIOgK9dI5d%2ByDnvDZ34dhQucrwst47gNg7k82%2BsGaHhdDc6Gj%2BtNfD5955jooimf8zTnKPimQ6UbaN%2BtEInGHcQUm7DKwTHCVUfOltbiD6bGr8cIxO8Q8Favev7lp059ZF051ds5CmPage%2FrZPR9v%2BGfWHpoOHQpkvI%3D%7Ctkp%3ABlBMUMCxkOGIZw']",Rising
I Don't Know Icelandic Iceland Pullover Hoodie,Iceland,regional,177.78,1,Amazon,"['https://www.amazon.co.uk/Dont-Icelandic-Iceland-Pullover-Hoodie/dp/B0CXXCH3M3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-4', 'https://www.amazon.co.uk/Iceland-Icelandic-Roots-Pullover-Hoodie/dp/B0FZXHVYCS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-9', 'https://www.amazon.co.uk/Rude-Icelandic-Gifts-Funny-Hoodie/dp/B0BZQGNQN9/ref=sr_1_5?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-5', 'https://www.amazon.co.uk/Dont-Speak-Icelandic-Iceland-Hoodie/dp/B0CXXBRYWF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c&dib_tag=se&keywords=Icelandic+Hoodies&qid=1770702061&sr=8-6']",Rising
"Natural Gemstone Bracelet – Green Aventurine, Black Lava Rock & Red Tiger Eye Healing Crystal Beaded Bracelet for Men & Women – Chakra Energy, Meditation & Yoga Jewelry",Iceland,regional,166.67,1,Amazon,"['https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTozNjc0MTIwNzU0MzM1MTQzOjE3NzA3MDIwNjk6c3BfYXRmOjMwMDY4OTU4NzUwODYzMjo6MDo6&url=%2FLava-Stone-Bracelet-Volcanic-Essential%2Fdp%2FB0FHYPTWSQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M%26dib_tag%3Dse%26keywords%3DVolcanic%2BJewelry%26qid%3D1770702069%26sr%3D8-1-spons%26aref%3D4KAOWbSVKT%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4KAOWbSVKT&sp_cr=ZAZ', 'https://www.amazon.co.uk/Lava-Stone-Bracelet-Volcanic-Essential/dp/B0FHYPTWSQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-4']",Rising
TWS Wireless Earbuds Touchscreen Bluetooth 5.4 Earphones For iPhone & Android,Iceland,regional,166.67,1,eBay,"['https://www.ebay.co.uk/itm/226445714488?_skw=Wireless+Earbuds&itmmeta=01KH31432A5D3576F8Y9K6BEJZ&hash=item34b9376438:g:iDMAAOSwepdnZtA7&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAOQvz%2BCiUw%2B9ar8DD4V6vrJuvfd6HNOtA2nKiHzJH2PuAt7DKU5R4b2Kq4uICxAOwMixNgO6ze7eGQd%2FdPmXevUxJ14n63BjRe%2BypKsmczwRFogBxEiWIHQ1n1iJSiIsBY4N0sxn2ct2s87ds7W%2FDy1gpBw5MLJW7U1Cj2Qof7DOxqZKqm7Bu%2FQ7szRqAQ7VlF67AZY%2B611nhKqpZdh9Gi55IGlOM9M9FxsWG8SSS%2Fmn4eakO3iff%2FAo3hc7hxCW8%3D%7Ctkp%3ABlBMUMKxkOGIZw', 'https://www.ebay.co.uk/itm/226741030229?_skw=Wireless+Earbuds&itmmeta=01KH31432AQ9B7HJJ14N323Y2K&hash=item34cad18d55:g:FQwAAOSwzhFoHKSJ&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDmFR8wmD0l9K2BD60DLNzCv7M77TVJLoTupDb4OCH3MZxCfNHy6aPabIl%2BDt54kK%2Br2i5TVYqTLq%2FW7F6hUzuwM0ZsvlkMYg%2BJGrTpCW9iZ5TrqBkRkvOgad0s%2FpiOOc6dhKBkYfAi15YIHn136AS2Eno24Nalxjb2E9vREl0gn2lPqGX%2BgwyHIgocV0QOPYJ4KgF%2FajypSG%2FuHzOPc4Mq1G%2BhnWx4n4axq6DuqRSr%2BOZV2MUDflEip5vvxQ78LWY%3D%7Ctkp%3ABlBMUMCxkOGIZw']",Rising
Brynjudalur Hooded Icelandic Wool Jumper with Traditional Pattern and Zip,Iceland,regional,166.67,1,Amazon,"['https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MzIxMjMxODAwMTQ5NjMwOjE3NzA3MDIwNjE6c3BfYXRmOjMwMDc4MDgxMDE0NTkzMjo6MDo6&url=%2FICEWEAR-Brynjudalur-Icelandic-Traditional-Pattern%2Fdp%2FB0DYVN8DPC%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c%26dib_tag%3Dse%26keywords%3DIcelandic%2BHoodies%26qid%3D1770702061%26sr%3D8-2-spons%26aref%3DKhVSfeVuKM%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=KhVSfeVuKM&sp_cr=ZAZ', 'https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo0MzIxMjMxODAwMTQ5NjMwOjE3NzA3MDIwNjE6c3BfYXRmOjMwMDc4MDc3MDM0NTkzMjo6MDo6&url=%2FICEWEAR-Brynjudalur-Icelandic-Jumper-Light%2Fdp%2FB0DYVGX8C1%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.cD9e_rphmagbwEdXVwpjZppsGvT3xxqY0a0uj4tCAc28dpikEZ2LSWjI69pN0TmOUzCX0TNFIy13lhYiiabkwAWV9Ndd4pejz5nMuVxwutI3igBPS_oJJXmcrB2OONLakzICjYngVkEIiemRd33Svl_6JORN4js3jlQRG6nAt4Dse-M8CtKTIuCdRr8jERP9bCpZAOBB0Vb9LAUFwFvBF28FjMA2VG5g4WJr-KC1cNfLH07-uZe0GbuTswpcDbBAVaEsJsxENfldwtdNKX72FYmNEt7xYCm0_jBLbMXKRt0.tRgY07eU66VzYJ-_fCiKHOe26RT4O7zqKUZ0X7aRM8c%26dib_tag%3Dse%26keywords%3DIcelandic%2BHoodies%26qid%3D1770702061%26sr%3D8-3-spons%26aref%3D2rsb96Xm1O%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=2rsb96Xm1O&sp_cr=ZAZ']",Rising
PERSONALISED HORSE HOODIE PONY GYPSY COB ICELANDIC DRESSAGE JOCKEY XMAS GIFT TOP,Iceland,regional,144.45,1,eBay,"['https://www.ebay.co.uk/itm/176264872207?_skw=Icelandic+Hoodies&itmmeta=01KH313M98EEW9Y2N8D4H7BM8B&hash=item290a34810f:g:BvQAAOSwXUplEsxm&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCzdkqgmP4YwiVpKz7Mu%2FPcEAxLqzssz2S2ZTqinrbYn6UlTofgYWY3Hxv9rKpbVBRIjb%2FPki7dUKtqi8WBn7zvj46JUFsaCvJwT4KJPDRFSQvbtBJ0kC0v9ousOladFqH4SgntouBH4xJFh8b%2BL%2BCC9P1vKKavQsqRhUL%2Fp437BaRdOxv9JAciXRKUCu7DtSIzoN%2BAkRfnygx3WSWZ0kZrcjxSfclN1gmpoKXwucrb%2FXxj6XDFKBOZsmANpIStQ5s%3D%7Ctkp%3ABk9SR_DEjuGIZw', 'https://www.ebay.co.uk/itm/176817002549?_skw=Icelandic+Hoodies&itmmeta=01KH313M98R1601QCMJK5Y2WGC&hash=item292b1d5835:g:RAsAAOSwmP5lIVgc&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAlEBHnPQ3Upe4%2FqFawZblzM35yjgL8RCIqr383YP0p2tloH6DblHynYjn2sSOnNhHbjEE%2BbmGY7Hd6pjfQNJ4p60pe50rqUjYp85bGWDeQERzqC5YwqLAaEZd75E9SQ%2FKJPaNIGIljCTQx4gG9PzaktPpHzSBsyiLf%2FM5LU9Z6I8pMKwIpyTh7dar39KsU1mZERT8XEy4vI%2Bb9rlCGgqHaYUSBgtli%2BG3MsBR5XzZWPPz35JlJzGZYq%2BuwTAhPndM%3D%7Ctkp%3ABk9SR_DEjuGIZw']",Rising
"Wireless Earbuds, 2026 3D-Stereo Bluetooth 5.4 Headphones, Ear Buds with 50+Hrs Deep Bass, 4 ENC Call Noise Cancelling Mic Earphones, IP-X7 Waterproof USB-C Headset Android iOS for Sport Gym Running",Iceland,regional,144.45,1,Amazon,"['https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo3NDIzNzk1MDc2OTc0MDg5OjE3NzA3MDIwNzk6c3BfYXRmOjMwMDkyMzY4MTM1MjAzMjo6MDo6&url=%2F3D-Stereo-Bluetooth-Headphones-Cancelling-Waterproof-Black-PRO%2Fdp%2FB0GHPWBNCH%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.wPVSA3PKxnYXl7ztA1_XZrpBMCG8r9sSvlEExsVPc6a0k9S6Nuu9psKt7lqSC-e-2CBkTSN6lCSeR8UOdfccpj3lKKVD8nC9pZhvoTkmIOeR2aFJ7e-xavzDu6RGfIEgw5nQB0Qefl-LS-W5zemFMEJInU6pY1o56ag43Z-aSYCCGUBuJWI21z0S4b2uLs1TeWP9W5mn3s4xf1QpC3aOpxadBGZc0dDp-EjA3DxuQiA.xJ_ZDTwORK5FJP8-K_8OcxaSuBWcJRRZdxHSnr6HZFw%26dib_tag%3Dse%26keywords%3DWireless%2BEarbuds%26qid%3D1770702079%26sr%3D8-3-spons%26aref%3DnOMiKY19cF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=nOMiKY19cF&sp_cr=ZAZ', 'https://www.amazon.co.uk/HAOYUYAN-Bluetooth-Headphones-Canceling-Waterproof-Dark-Black/dp/B0GCFJMQF7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.wPVSA3PKxnYXl7ztA1_XZrpBMCG8r9sSvlEExsVPc6a0k9S6Nuu9psKt7lqSC-e-2CBkTSN6lCSeR8UOdfccpj3lKKVD8nC9pZhvoTkmIOeR2aFJ7e-xavzDu6RGfIEgw5nQB0Qefl-LS-W5zemFMEJInU6pY1o56ag43Z-aSYCCGUBuJWI21z0S4b2uLs1TeWP9W5mn3s4xf1QpC3aOpxadBGZc0dDp-EjA3DxuQiA.xJ_ZDTwORK5FJP8-K_8OcxaSuBWcJRRZdxHSnr6HZFw&dib_tag=se&keywords=Wireless+Earbuds&qid=1770702079&sr=8-4']",Rising
Volcanic Lava Bead Bracelet – Buddha Charm Wooden 8mm Beads Men Women Jewelry Gi,Iceland,regional,144.45,1,eBay,"['https://www.ebay.co.uk/itm/366169248876?_skw=Volcanic+Jewelry&itmmeta=01KH313TH5H34NFBNEY6705CKP&hash=item554163546c:g:BSEAAeSwgTFpeivr&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBNXZpwWmQXkATyLAy3JaanilnUEBqx%2FqvjiczcADH7i52Dg1XoFIJMjFh834%2BvJqWOnkXm6hqOTKyStTCfE05wvTlfP31NvQW7v1OfNC5f1xrI2sGTKEd8cDz1bBf%2F%2BiDS2RLXX1tGIJn8CdUs%2FMDoZKsGKMH9XwcuowOR0al%2BHOvFKUcCkjlm05Hg8IR6GymfVc9PSx1OJYHRq8Y%2FVF5ZybHGDKyRXY7Xr1T2AYsXH5I9hJ%2BNIcf0%2BSAn%2FzQh8%2BgLqNMXtqmaeJB6zdujexx%2Bzf3Gx2EUyIZqgdsD7obq4Q%3D%3D%7Ctkp%3ABFBM9KiP4Yhn', 'https://www.ebay.co.uk/itm/286909520136?_skw=Volcanic+Jewelry&itmmeta=01KH313TH5QJ1CZGMDP6SQXNYE&hash=item42cd23d908:g:h0oAAeSweWlpBPeH&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xD5dbo9ZIK01GSGqFA44UZvVaJHV8CkCuIsiHvC%2Fcx76Vk9IhDq777qUmev%2FrKDspFGdee1r6%2FEl4dJ8UZ%2FvK8XOqQi5RXUsTCAiCG%2FYa%2BIa5jjszXKrhSwvvcxCCdEvgc%2BAiQu%2F73lrNEdYXy%2FvYcizX8d6RPT5F%2BXWFNtsGKe%2FnM8HL2ck9dlQa%2BzG9R6udmyseX%2Fq4APkz4QPalK8YzTdnnwjQMnIUExRPLYIMbbcuyDDgiKlVFXm7IMRWfHKT4qHdjCJTINp2O1iDcwbB7uXTvzA9Eewo5zzPCOwtqCRw%3D%3D%7Ctkp%3ABFBM9KiP4Yhn']",Rising
"Smart Watch for Men Women Answer/Make Calls, 1.85"" Touchscreen smartwatch with Heart Rate/Sleep Monitor/Step Counter, 110+ Sports Activity Trackers, IP68 Waterproof Fitness Watch for Android/iOS",Iceland,regional,144.44,1,Amazon,"['https://www.amazon.co.uk/Watches-Samsung-Android-Fitness-Waterproof-Black/dp/B0CRHD89D6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.NPSokQD9VMXbNVaSLfI9hR9GZovUdmjuJZzHeJo91hrjXRFhUUn5XvDPvQBeEGRZH8C0RmoSIwiEqkjIMzJiAOrfZrdqudJWvwOqsYEaatxu5uw8U6sMwHlYDUMb-o03li-FXvkfEzLVXAEAhGMM7nuWM7XIlEfD9TdlDrPnf17iu2ClMPqVKlPCCl6aBXOV5hexFMMr6UETyr5gAQLzQvW7CNb4JJqPuGn-eQct6x4.Qvk948GZIGS-32ioOcI7e7be6x4iE49tu-4-4V-3dR8&dib_tag=se&keywords=Smart+Watches&qid=1770702084&sr=8-6', 'https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTo2NTk4MTAyMDg0MjI1NjE4OjE3NzA3MDIwODQ6c3BfYXRmOjMwMDg2MjA5OTY0MjYzMjo6MDo6&url=%2FDonerton-Digital-Display-Activity-Tracker-Black%2Fdp%2FB0DXL5L949%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.NPSokQD9VMXbNVaSLfI9hR9GZovUdmjuJZzHeJo91hrjXRFhUUn5XvDPvQBeEGRZH8C0RmoSIwiEqkjIMzJiAOrfZrdqudJWvwOqsYEaatxu5uw8U6sMwHlYDUMb-o03li-FXvkfEzLVXAEAhGMM7nuWM7XIlEfD9TdlDrPnf17iu2ClMPqVKlPCCl6aBXOV5hexFMMr6UETyr5gAQLzQvW7CNb4JJqPuGn-eQct6x4.Qvk948GZIGS-32ioOcI7e7be6x4iE49tu-4-4V-3dR8%26dib_tag%3Dse%26keywords%3DSmart%2BWatches%26qid%3D1770702084%26sr%3D8-1-spons%26aref%3DtNvzsWoVZC%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=tNvzsWoVZC&sp_cr=ZAZ', 'https://www.amazon.co.uk/Fitness-Bluetooth-Smartwatch-Waterproof-Activity-Black/dp/B0FSPMX18G/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NPSokQD9VMXbNVaSLfI9hR9GZovUdmjuJZzHeJo91hrjXRFhUUn5XvDPvQBeEGRZH8C0RmoSIwiEqkjIMzJiAOrfZrdqudJWvwOqsYEaatxu5uw8U6sMwHlYDUMb-o03li-FXvkfEzLVXAEAhGMM7nuWM7XIlEfD9TdlDrPnf17iu2ClMPqVKlPCCl6aBXOV5hexFMMr6UETyr5gAQLzQvW7CNb4JJqPuGn-eQct6x4.Qvk948GZIGS-32ioOcI7e7be6x4iE49tu-4-4V-3dR8&dib_tag=se&keywords=Smart+Watches&qid=1770702084&sr=8-10']",Rising
