video_title,channel,published_at,video_url,trend_score,country,proxy_region,signal_source,confidence,collected_at
ATTACKING ON A LUXURY HOTEL | GTA 5 GAMEPLAY #163,Techno Gamerz,2026-02-07T15:30:15Z,https://www.youtube.com/watch?v=Ly72G5N-G9c,7554401,India,IN,youtube,high,2026-02-09T05:15:24.716806
"100,000 UC WITHERBLOOM HONEY BADGER OPENING | JONATHAN IS BACK!! | BGMI!",JONATHAN GAMING,2026-02-07T23:31:21Z,https://www.youtube.com/watch?v=hSM-wrCb51k,1846267,India,IN,youtube,high,2026-02-09T05:15:24.716806
I Solved GTA 5's Biggest Mystery With Michael,Mythpat,2026-02-07T05:41:19Z,https://www.youtube.com/watch?v=c-I-jXpGuOk,1537315,India,IN,youtube,high,2026-02-09T05:15:24.716806
We Found the Scary 67 Brainrot Tunnel in Minecraft..,Karry Kraft,2026-02-08T09:09:52Z,https://www.youtube.com/watch?v=46pWqk1FScM,550964,India,IN,youtube,high,2026-02-09T05:15:24.716806
"BORDER 2: Mitti Ke Bete (Full Video)| Sunny Deol | Varun D,Diljit,Ahan |Mithoon |Sonu Nigam |Manoj M",T-Series,2026-02-07T08:30:10Z,https://www.youtube.com/watch?v=XB6va4bR0-s,795436,India,IN,youtube,high,2026-02-09T05:15:24.716806
How to insert download games  😱 in T800 ultra smart watch ✅️ #video #videoviral #smartwatch,SMART GANESH,2025-07-19T05:57:00Z,https://www.youtube.com/watch?v=mp3VvXLqeEw,100,UAE,AE,youtube,medium,2026-02-09T05:15:30.114278
Secret feature in Noise Colorfit Icon 2 smartwatch 🤔 #noise #shorts,SuperHit Technical,2024-08-14T19:20:05Z,https://www.youtube.com/watch?v=1tAzNTTHEcE,90,UAE,AE,youtube,medium,2026-02-09T05:15:30.114278
T800 ultra smart watch mein free fire laane ke liye secret number 👍#reels #explore #1millionviews,SAMEER BHAI VLOG,2024-01-21T11:06:58Z,https://www.youtube.com/watch?v=WATGwiLMemY,80,UAE,AE,youtube,medium,2026-02-09T05:15:30.114278
NoiseFit Vortex ( Silver Grey ) Budget AMOLED SmartWatch #Unboxing #Shorts #Gadgets,WhySoTechie,2023-06-12T07:17:49Z,https://www.youtube.com/watch?v=ANVdslrq67s,70,UAE,AE,youtube,medium,2026-02-09T05:15:30.114278
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,60,UAE,AE,youtube,medium,2026-02-09T05:15:30.114278
